Iteration: 1 | Cardinality: 287939.0330910667 | Time: 4.730684280395508
Iteration: 2 | Cardinality: 286058.47165301256 | Time: 1.2295379638671875
Iteration: 3 | Cardinality: 293228.5863726871 | Time: 1.0933196544647217
Iteration: 4 | Cardinality: 299970.41618322016 | Time: 1.1303958892822266
Iteration: 5 | Cardinality: 300834.02379073284 | Time: 1.0395896434783936
Iteration: 6 | Cardinality: 272201.47660493664 | Time: 0.9961137771606445
Iteration: 7 | Cardinality: 272695.9924816886 | Time: 0.9506349563598633
Iteration: 8 | Cardinality: 274024.36583819473 | Time: 1.1207232475280762
Iteration: 9 | Cardinality: 286844.1690230959 | Time: 0.963162899017334
Iteration: 10 | Cardinality: 273355.9480029471 | Time: 0.9999706745147705
Iteration: 11 | Cardinality: 284070.844820368 | Time: 1.0449004173278809
Iteration: 12 | Cardinality: 281469.2102667884 | Time: 0.9437670707702637
Iteration: 13 | Cardinality: 303953.14957798045 | Time: 1.0316975116729736
Iteration: 14 | Cardinality: 286444.9816675825 | Time: 0.9826357364654541
Iteration: 15 | Cardinality: 289700.5259950246 | Time: 0.9503812789916992
Iteration: 16 | Cardinality: 290086.0332213701 | Time: 0.961353063583374
Iteration: 17 | Cardinality: 285270.90339109785 | Time: 1.0222811698913574
Iteration: 18 | Cardinality: 279065.8886902443 | Time: 0.9766180515289307
Iteration: 19 | Cardinality: 275876.10973842506 | Time: 0.9324555397033691
Iteration: 20 | Cardinality: 292232.9496597273 | Time: 1.0729122161865234
Iteration: 21 | Cardinality: 294892.75153361284 | Time: 1.0277676582336426
Iteration: 22 | Cardinality: 281344.0149938861 | Time: 0.9556443691253662
Iteration: 23 | Cardinality: 294961.42646873626 | Time: 0.9916231632232666
Iteration: 24 | Cardinality: 302149.6166171075 | Time: 0.9680817127227783
Iteration: 25 | Cardinality: 283170.6466612271 | Time: 0.9377999305725098
Iteration: 26 | Cardinality: 278265.51914820005 | Time: 0.9601821899414062
Iteration: 27 | Cardinality: 277853.4344925088 | Time: 0.9508192539215088
Iteration: 28 | Cardinality: 305833.1134461306 | Time: 1.0438709259033203
Iteration: 29 | Cardinality: 269482.8543298674 | Time: 0.9046146869659424
Iteration: 30 | Cardinality: 301252.53041513 | Time: 1.0392303466796875
Iteration: 31 | Cardinality: 275877.11843534454 | Time: 1.1937823295593262
Iteration: 32 | Cardinality: 295662.0208951115 | Time: 1.0484497547149658
Iteration: 33 | Cardinality: 284842.2799456022 | Time: 0.9706110954284668
Iteration: 34 | Cardinality: 291577.4645366771 | Time: 1.0257980823516846
Iteration: 35 | Cardinality: 279447.9146638787 | Time: 1.0538890361785889
Iteration: 36 | Cardinality: 284007.2614955392 | Time: 0.93985915184021
Iteration: 37 | Cardinality: 279682.70762160135 | Time: 1.108757495880127
Iteration: 38 | Cardinality: 270556.2946730488 | Time: 0.9620616436004639
Iteration: 39 | Cardinality: 285120.80522705906 | Time: 0.9507052898406982
Iteration: 40 | Cardinality: 270362.4004578444 | Time: 1.0253682136535645
Iteration: 41 | Cardinality: 298742.70230278897 | Time: 1.1346766948699951
Iteration: 42 | Cardinality: 278586.9571129172 | Time: 0.967578649520874
Iteration: 43 | Cardinality: 292518.23877588427 | Time: 1.0897562503814697
Iteration: 44 | Cardinality: 292025.48322828853 | Time: 1.0775692462921143
Iteration: 45 | Cardinality: 285813.6298371601 | Time: 1.1272656917572021
Iteration: 46 | Cardinality: 275848.4935218537 | Time: 0.9493668079376221
Iteration: 47 | Cardinality: 302432.43817176914 | Time: 0.9173359870910645
Iteration: 48 | Cardinality: 288474.5838106226 | Time: 1.0142736434936523
Iteration: 49 | Cardinality: 286793.7036452977 | Time: 0.9388811588287354
Iteration: 50 | Cardinality: 284525.0031601039 | Time: 0.9415006637573242
Iteration: 51 | Cardinality: 279996.346341733 | Time: 1.017063856124878
Iteration: 52 | Cardinality: 285478.34383308 | Time: 1.0219345092773438
Iteration: 53 | Cardinality: 296925.6600069229 | Time: 0.9852638244628906
Iteration: 54 | Cardinality: 269528.14448729536 | Time: 1.046597957611084
